Subject,MSI_Perception,MSI_Training,TarMix,StimuliID,StimuliID_NAME,Instrument,Melody,WiT,Performance,Experiment
1,40,27,TM,1,TM_001Autotune_WiT,M_Vocals,Vocals,NoTarget,1,1
1,40,27,TM,2,TM_001Orig_Keys_WiT,O_Synth,Accompaniment,NoTarget,1,1
1,40,27,TM,3,TM_002Autotune_WoT,M_Vocals,Vocals,Target,1,1
1,40,27,TM,4,TM_002Orig_Keys_WoT,O_Synth,Accompaniment,Target,1,1
1,40,27,TM,5,TM_003Autotune_WiT,M_Vocals,Vocals,NoTarget,1,1
1,40,27,TM,6,TM_003Orig_Keys_WiT,O_Synth,Accompaniment,NoTarget,1,1
1,40,27,TM,7,TM_004Autotune_WoT,M_Vocals,Vocals,Target,1,1
1,40,27,TM,8,TM_004Orig_Keys_WoT,O_Synth,Accompaniment,Target,0,1
1,40,27,TM,9,TM_005Autotune_WiT,M_Vocals,Vocals,NoTarget,1,1
1,40,27,TM,10,TM_005Orig_Keys_WiT,O_Synth,Accompaniment,NoTarget,1,1
1,40,27,TM,11,TM_006Autotune_WoT,M_Vocals,Vocals,Target,0,1
1,40,27,TM,12,TM_006Orig_Keys_WoT,O_Synth,Accompaniment,Target,1,1
1,40,27,TM,13,TM_007Autotune_WiT,M_Vocals,Vocals,NoTarget,1,1
1,40,27,TM,14,TM_007Orig_Keys_WiT,O_Synth,Accompaniment,NoTarget,1,1
1,40,27,TM,15,TM_008Autotune_WoT,M_Vocals,Vocals,Target,1,1
1,40,27,TM,16,TM_008Orig_Keys_WoT,O_Synth,Accompaniment,Target,1,1
1,40,27,TM,17,TM_009Autotune_WiT,M_Vocals,Vocals,NoTarget,1,1
1,40,27,TM,18,TM_009Orig_Keys_WiT,O_Synth,Accompaniment,NoTarget,1,1
1,40,27,TM,19,TM_010Autotune_WoT,M_Vocals,Vocals,Target,1,1
1,40,27,TM,20,TM_010Orig_Keys_WoT,O_Synth,Accompaniment,Target,1,1
1,40,27,TM,21,TM_011Autotune_WiT,M_Vocals,Vocals,NoTarget,1,1
1,40,27,TM,22,TM_011Orig_Keys_WiT,O_Synth,Accompaniment,NoTarget,1,1
1,40,27,TM,23,TM_012Autotune_WoT,M_Vocals,Vocals,Target,1,1
1,40,27,TM,24,TM_012Orig_Keys_WoT,O_Synth,Accompaniment,Target,1,1
1,40,27,TM,25,TM_013Autotune_WiT,M_Vocals,Vocals,NoTarget,1,1
1,40,27,TM,26,TM_013Orig_Keys_WiT,O_Synth,Accompaniment,NoTarget,1,1
1,40,27,TM,27,TM_014Autotune_WoT,M_Vocals,Vocals,Target,1,1
1,40,27,TM,28,TM_014Orig_Keys_WoT,O_Synth,Accompaniment,Target,1,1
1,40,27,TM,29,TM_015Autotune_WiT,M_Vocals,Vocals,NoTarget,1,1
